Title	Description	Category
E Book Project	I have been writing short articles on railways to a few rail journals and now wish to collate these articles and have them published in electronic format hopefully in Amazon.com. I need to have my manuscript formatted to fit in with Amazon's requirements.	1
english project	"read the attached opinion piece from the ""Grade Point"" column published 9/17/17 in the Washington Post. After reading it carefully, compose a response (1,000 words, max) that could be sent to the author, Jeffrey Selingo,"	4
review in internal corporate governance and audit quality	LR in internal corporate governance and audit quality	5
CV reshape	"Looking for a job and need someone to help with my CV rewritten. 
Not sure how to includ the right words and sentences. 
Not been in the market for almost 2 years now (had a baby) must put best chances on the right cv shape."	1
management powerpoint project	management research project. You will select a company and follow that company for the entire semester and give 3 presentation analytical reviews  on business elements of that organization.	5
About me page /Privacy page	"My business is a personal coaching business. I am a Life and Success coach and would like to share my story and influence people to come to me for their coaching needs. 

I would like to help people in transition points, mindset work, and with their careers.  I am also looking for a privacy page.

I need someone to write content for my new page on my website. 
It will be about my story and what got me to be a life coach and what i would like to offer people

Its a personal coaching business that focuses on Life coaching and business success

I know what i want to say but i dont know how to put it in words and make it attract clients"	1
Book report on “Move fast and Break things”	"Looking for a book report written on the about the book 
Move Fast and Break Things: How Facebook, Google, and Amazon Cornered Culture and Undermined Democracy. 
 Must be 1200 words or more.  4 subtopics- 300 words each.
Due Sunday September 23, 2018"	5
Data mining Report Writing	"Must have vast knowledge in Data mining 
Literature Review of Application of data mining in health/medical area .
Proper citation and APA style format."	5
Article about happiness	everything is in the attachment	5
Write a two page paper -- 2	"Search the Internet for IT governance planning. Select a specific governance plan that exists at a company or a plan framework from an organization. Write a 2-page paper on three or four of the most important suggestions from the plan you select.
Your paper should be 2 pages in length. You need to provide a minimum of two references and need to use APA format in the reference section.
12 font size, 1” margins, double-spaced"	5
Film review	"a review for a ( Grave of the Fireflies ) which discuss issues such as national identity, cultural globalization and popular culture 

include 
- introduction: intro the film show, point out the key concept to be discussed in the review, (also point out the significance, maybe box office number ? - or is it a widely overlooked film - justify ur choice )
- integrate the plot summary somewhere here 
- body: arguments: use different example from the film / show for different aspects of the concept (2-4 parts will be fine ) 
- Conclusion: ur own judgement in light of the film/ show in light of the concepts
( no academic style ) (no references needed)  
1500 wds"	5
Rewrite and edit management and leadership short article	I have written a short presentation that requires rewriting and editing in proper business english	1
Write a reflection paper	This project needs to be a reflection of a gender role and identity theory named the Social Learning Theory. This project should be between 550 and 650 words. The format is APA and should have at least one reference.	5
Academic writer for long article	Hello, I’m looking for an academic writer who can translate my thoughts onto paper. Does that make sense? I’ll message you for more information.	3
Small report based on provided content	I need you to draft a small report based on the key points provided in the document that is attached. The overall objective is organise the provided key points, improve the English and produce the same in a report format.	5
Association Rule Mining  report	"Write about Association Rule Mining (ARM) algorithms, their inability to mine numerical data without first converting them into categorical ones. Discuss its issue and critically review at least two important research articles. Identify a publicly available dataset for ARM. Evaluate and explain the chosen dataset.
Construct an ARM model by applying an appropriate ARM node. ( Required to know IBM SPSS Modeler)"	5
psychology of business decisions resumee	"Consider how gender equality in the workplace can increase productivity. Include
the socio-psychological aspects of gender issues in the workplace and its
consequences."	5
Data Centre Analysis	A financial research analysis about SEA data centre industry (Singapore, Hong Kong, Indonesia, Thailand), case study for (GDS, STT GDC, peer comparison of Citic Telcom & China Mobile for data center sector) , 1500 - 3000 words in English 	5
Organizational Structure	I need someone to adjust the companies job descriptions and organizational structure	1
I would like to hire a Resume Writer	"Information technology domain 
Sales & Pre Sales manager"	1
"Literature about (Theory of Reasoned Actions ""TRA"")"	"Literature about (Theory of Reasoned Actions ""TRA"")

- 20 pages.
- Good quality writing.
- To include the history and the development of the theory (in max 5 pages).
- To include the theory model (diagram).
- Prober Referencing & Citation (Inline citation & End reference).
- From international journals IEEE, SCOPUS, ...
- No Wikipedia.
- Used sources to be included as attachments.
- Plagscan is 8% Max, Plagscan report to be included."	5
proofread and editing service for academic essay	1200 words essay to be finished editing in less than 24 hours	5
essay writing - 30/09/2018 08:46 EDT	explore various theories to analyze and develop a treatment strategy in counselingthe paper must be at least 3500 words and maximum 4000. I will share the specific details of the assignment through discussion.Thanks and appreciate the help 	5
blog article	"Managing Shrink – how IoT can help manage product loss, XX ways to reduce/manage shrink, shrink as it relates to hurricane Florence or other timely topics, etc.

References
Transportation and Logistics<[login to view URL]> (industry page on our site): Improve efficiency, safety, customer service, and compliance with SmartSense.

Supply Chain Visibility<[login to view URL]> (solution page on our site): Gain end-to-end visibility into fleet management with SmartSense. Real-time monitoring solutions improve FSMA compliance management with proof of inventory temperature throughout the cold chain. Improve driver protocol and eliminate manual processes with automated monitoring solutions.

Supply Chain Brochure<[login to view URL]> (gated content): Consistent and accurate temperature monitoring of the entire transport chain is required by the Food Safety Modernization Act (FSMA). SmartSense wirelessly measures air temperature at the point of product in the trailer to deliver precise temperature visibility throughout transit, and serves as an independent audit of the onboard refrigeration system. Using GPS tracking and nested geo-fences, SmartSense triggers custom alerts and notifications to simplify and automate compliance and product quality reporting.

Example Blog Posts

  *  The Amazon Effect: How Customer Expectations Have Impacted the Supply Chain<[login to view URL]> – lifestyle post
  *  Autonomous Trucking and the Importance of Fleet Management<[login to view URL]> – lifestyle post
  *  Pharmaceutical Cold Chain Optimization: WHO’s Plan to Improve Access for Vaccines and Medications<[login to view URL]> – we attended a tradeshow and wanted to post relevant content (see the Cold Chain Global Forum<[login to view URL]> for more info on the show)"	1
Write an article and create brochure for Information Technology Manage Service provider company	I need someone with technical and creative writing skills to write MSP (Manage Service Provider, Information Technology) article and create brochure for further download by clients. The article need to be at least 550-600 words explaining benefits of MSP, when is the good time to consider to get a MSP company involved, what are the benefits of MSP for SMB and Enterprise/Large corporations and why our company is the right choice for such services. At the end of article create call to action to call or email us and create verbal linkage between article and further downloadable brochure where reader could learn what are the marks for business to consider MSP. so they can register and download this free brochure. Brochure need to be at least 2200-2400 words with pictures and nicely formatted. I will provide sample for both documents for reference and get proper idea to you. Both articles and brochures need to be written in combination technical and literature writing to attract and captivate reader, not dry with technical terms, with nice flow to read, would be nice to have some short data in brochure to show growth of MSP services.	1
Paraphrasing for Journal Submission	"I would like to my paper para-phrased for the journal submission.
Words count is 2500 with Figure, Tables,  and Title pages.

I have already many experience of submitting journal. 
I hope ""para-phrasing"" rather than proof reading.  The paper was already checked by ""Grammarly software"".

I hope 30-50$."	5
write me an argumentation essay	"I need a research ""argumentation essay"" this essay is related to IT and information, including aspects for leading, managing, and coordinating work processes. The paper should be well-structured, written in an argumentative style, and based on the course literature. Further information on content and format for the paper is given in the attachment below."	5
research proposal	i need to write research proposal for business study	5
Strategic Entrepreneurship analysis	"Develop business models 
2.1 Define customer segment
2.2 Business model for the idea
2.2 Business model for selling the license

Development of the idea 
3.1 Mock-ups
3.2 Analysis of workflow

Planning implementation"	4
I need a writer to write my scholarship essay	"Please state educational and career goals and the reason for choosing your major (Mechanical Engineering). Limit to 120 80–character lines.
You may enter up to 120 80-character lines MAXIMUM for this essay."	5
ENTERPRISE ARCHITECTURES	"Introduce the case related to Enterprise Architecture (EA), and discuss how the documentation framework in the case is different from the EA3 cube framework.
Approximately 1500 words
Reference style: Chicago."	5
Research Paper about: Stress Management ; Individual & Organizational and how its related to organizational behaviour	"Research Paper about: Stress Management ; Individual & Organizational and how its related to organizational behaviour 


Research Paper outline 

•	Title 
•	Abstract 
•	Introduction 
•	Literature review 
•	Research problem 
•	Methodology 
•	Results 
•	Conclusion and recommendations
•	References 

Note: Project can be between 25 - 30 paper.
A4 Paper , time new roman font , 12 scale."	5
MANAGING HUMAN RESOURSES	"~ Title page 
report title, author name/number, submission date (not part of word limit)

~ Executive summary 
Report overview and summary of the aim, findings and recommendations – this is placed BEFORE the content page. (not part of word limit)

~ Table of contents 
List of numbered sections, including page numbers. (not part of word limit)

~ Introduction (terms of reference)                                                                                             
- The organisational context that discussion will be applied to and a brief outline of the topics and context investigated. Also explain who will the result be presented to.

~ Main body (Often referred to as the Analysis and Findings)
- Critical review of key topics or themes – In depth discussion to explain the key topic areas outlined in the specification above. This section must be informed and supported by appropriate secondary research to build the discussions and arguments and also highlight the key strengths or gaps in any particular authors perspectives.                                                               

Considering analysis and finding in this section discuss the best practice that could be considered for your chosen organisation. All recommendations must be informed by secondary data and additional research information to underpin your suggestions.        

(make use of appropriate headings and sub-headings here and consider  a mix of narrative and diagrammatic formats where appropriate to present findings.)

~ Conclusion – A clear summary of the information you reviewed in the main body of the report.     

~ Reference list/ Bibliography – A completed list of all sources used in the Harvard Referencing Style as outlined in the University guidelines. (not part of word limit)

~ Appendices (if used) – eg. information supporting / enhancing the discussions in the body but not essential to its explanation. (not part of word limit)"	5
research writing	Hello i need someone to write me a research about marketing. I have already chosen the topic. For the topic deadlines and all other details you can inbox me	5
Executive Resume and Cover Letter	"Facelift to an existing resume + prepare a cover letter.

Mandatory, experienced executive CV writing. Advantage for someone who worked as/with HR department in HighTech industry."	1
3 page double space research 	I need you to write a research article. which is double space 3 pages. Related to labor law	5
I need blogs written	"Need someone who has professional writing experience to write blogs for my website.
Website is [login to view URL]
The posts I need to be written are lifestyle, marketing, and product-specific sometimes."	1
sport training programme for semi professional footballer 	2000 words. needs to be done in 10 days. fitness programme for a football player. identify the physiological determinant of fitness. appropriate methods to improve physical fitness. power(peak anaerobic power). focusing on physiological training not nutrition or psychology. scientific references needed at least 15 scientific journals. clients details; 24 years old male 77 kg 1.79 m height. semi professional footballer. more details will be given.	1
Small Business Enterprise	Case study on AMOY hotel	5
Material Science Essay Sample	We need an experienced essay writer to draft a 2500-word essay sample.	5
Francis Fuller Victor's River of the West	For this first short writing assignment of perhaps two pages, apply some of the theories about the Pacific Northwest found in our introductory readings to Frances Fuller Victor's The River of the West. How does her serialized novel about heroic mountain men pertain to the idea that the Pacific Northwest is a product of empire building? What is the relationship between the ideology of empire and the characterization of this one person in her novel?	5
Environmental impact assessment/EMS	Need help in a 1600 words essay 	5
Report on Application of Data Mining in Health/Medical Area	Discuss the purpose, background, general concepts and trends related to the topic. Describe 3 references that are relevant to your topic. Include details of how the data (or text) mining process is performed and also relevant conclusion and benefits. Use the CRISP-DM framework here for both data and text mining topics. Must know how to use IBM SPSS Modeler(v18.0) or IBM SPSS Statistics.	5
Privacy Issues on Social Media	"Privacy Issues in Social Media -I want a thorough Executive Summary that focuses on Privacy Issues of Social Media. Focus on Major Social Media Platforms like Facebook, Netflix, Instagram, Twitter etc.

I want to use five sources of information that identify the problems. All articles must have a commonality and a common problem. I must engage in Higher level of thinking(Masters Level). You must also use Peer Reviews and Academic Databases. Must all be cited.
Go to Database and get peer review articles ( No Newspaper articles). Must Have an overview/background,Privacy Analysis, Major Issues/Patterns/Trends, Marketing/Advertising, Summary,consequences, conclusions, recommendations.

questions to be answered:
•	Who will read your executive summary? 
•	What is the main document’s main topic, theme, or idea? 
•	What is the “purpose” of the main document? 
•	Are there sections, or divisions, within the document?
•	Does the document make a recommendation or suggest a certain course of action? 
•	What are the benefits or consequences of this course of action?"	5
Mini essay and pictures	Hi I am looking for someone to look for items that are meaningful to my life and write a description of how it affects my life and how much its part of me in less than 2 hours	5
Travel content writer wanted	"I need you to write articles on travel subject.

Each article is for a website content and mainly for SEO purpose so must contain a specific word. 1500 characters per article. Mostly will be articles about particular countries.

I need several articles to start with and there will be more to write gradually over the next few months so if I’m happy there is a high chance of rehire. 

Please give me your price per article. 

Native speakers will be considered only.

Thanks "	1
Web content creator / Experienced copywriter needed for the website	"We are [login to view URL], web platform for marketers and developers, specialized in cloud communication solutions. 
We are looking for highly skilled native English web content writer, in order to re-write the content of our website. You will be responsible for creating and adjusting the content for new landing pages. It is really important that the copywriter has a tech background and SEO knowledge. 
If you see yourself doing, send us an application and afterward, we will send you an assessment page to check thoroughly your skills.

After the initial project, we would like to have a long-term co-operation with the assigned freelancer."	1
Research 18 Answers related to social entrepreneurship in egypt	"I need to you research answers and sources to 18 questions linked to social entrepreneurship in Egypt. Each answer needs to be backed up by a reliable source which can be quoted. The questions can be found in the attached xls-file.

The final document does not need any proofreading or special formatting. It will be used as a reference material for further research. So answers and sources within the excel-file are sufficient."	5
critical analysis	critical analysis of the reading Kübler-Ross, “On the Fear of Death”	5
Rephrasing my papers	my the attached papers are part of my research work for master degree.	5
Mobile games: Business Value Vs Ethical Issues	I need you to write a report for something.	5
Magazine Article	Please read attachments. Persuasive project. 3- 4 pages. Feel free to ask any questions	5
creative essay writing	"I would like some help in creative essay writing at high school level

It is a mock up interview - about 10 pages"	5
Case Study Survey	"You will have a written 17 page case analysis based on a Harvard Business Review (HBR) case.  Your Survey should include an identification of the major issues involved, your analysis of the issues and problems, and your recommendations on what the characters involved should do – and why.  More suggestions on analyzing the case will be provided.

The Survey is in a paper format that should be around 5-6 pages in length."	5
Marketing Research	"I'm looking for a research analyst to perform research and prepare an analytical summary.  The research topic would be:
Research sites / online tools that provide project management and software development templates for small businesses
How many sites are out there that provide such services
How much of the market is taken vs. who has most of the activity for downloading project specific documents
Is a login required?
Is a minimum purchased required?
Is it a small business or does it only offer enterprise support?

Please create a spreadsheet of companies analyzed and a powerpoint of the summary of information learned."	3
Writing Project	I need someone to write 4 pages in English for me. MLA format.	5
Assignment management report	Writing and defining management in accounting	5
International operation management	"-few open question
-0 plagiarism
- based on a given passage"	5
Complete me a report/Assigment/Essay	I have an assigment due on 7th November, 1000 words. the assigment is about sneaker market in the US. More information will be provide later on.	5
I need to know about KM implementation	I need to know about KM implementation. I need insight into how a knowledge management program is implemented. The analysis will incorporate fundamental concepts about tacit knowledge capture (learning by being told, learning by observing, vicarious learning, experiential learning, inferential processes), explicit knowledge codification, knowledge sharing, and communities of practice into the analysis. The document to be analyzed is posted.	5
Are anticholinergic drugs useful for treatment of overactive bladder syndrome? (Discuss their advantages and disadvantages by focusing on their mechanism of action in various tissues)	"Your poster should include the following: 

1.	Introduction- Your introduction needs to set the scene and should include some background information about the subject area.  Define the issue!
The introduction should give a brief background of the topic you are discussing/presenting in your poster. The reader needs to very quickly understand why you chose this general topic (why is it important?) and get general background information. Depending on your chosen title, your introduction MAY include some of the following information:
•	Disease– Description of the disease/condition? Why is this disease/ condition important (e.g. information about the prevalence, costs associated with treatment of patients, issues with the quality of life of patients , etc. )
•	Drug targets/ mode of action of the drug - what is the drug(s) looking to treat, what are the main cellular targets and why are they important? (What is the mechanism of action of drug(s) you are interested in?) Are there any additional targets that could be potentially explored? If yes then why? How is the drug delivered? Pharmacokinetics of the drug and side effects.
If you want to include additional subheadings in this section you will not be penalised.

2.	Aims- What is (are) the aim (s) of your study? What is the key research question? Your introduction needs to lead the reader to your aims. 


3.	Key findings- What are your main findings/ conclusions/take home messages from your poster?  


4.	Presentation-
The poster should be able to stand on its own as a clear, logical presentation of the subject you have chosen, without the need for a vocal explanation.
You can use either MS Word or PowerPoint to create your poster – I recommend PowerPoint, easier to create posters. 

Use fonts that are easy to read (such as Times New Roman, Garamond, and Arial)

Include text and figures to highlight key points about your poster. Remember posters are a visual way of presenting information rapidly.
Find the right balance between text and diagrams/figures. Try not to make you poster too wordy. Be concise, maybe a good diagram or picture can convey your message much easier.

Avoid jagged edges: left-justify text within text boxes or fully justify blocks of text

Choose colours carefully and pay attention to contrast.  If in doubt, dark print on light background is best. 

Organize and align your content with columns, sections, headings, and blocks of text

White space is important to increase visual appeal and readability (this is the “empty” space between sections, columns, headings, blocks of text, and graphics).

Avoid fuzzy images; make sure all graphics are high-resolution (at least 300ppi) and easily visible

Edit your poster carefully for typographic or grammatical mistakes and image quality before submission

There is no word count for your poster but you can only use one side of a single page (as a guide 800 words should be sufficient).
All figures and tables should be labelled clearly with a clear legend and should be cited in the poster.
All references should be listed and also cited in the poster. 

5.	References - Use references to support statements. Use the Harvard referencing style."	5
research work	Summarize strategic priorities of Nike and Adidas in US Sneaker Market, including their approach to issues of sustainability and/or corporate social responsibility.	5
Need help in writing a research report in challenges and opportunities of BIG DATA in certain industry	"Need help in writing a research report in challenges and opportunities of BIG DATA in certain industry.

Using journal articles from Australia Business Dean Council(ABDC) as reference"	5
Event Marketing	"(World Travel Market 2017)

•	You are required to evaluate an event in terms of the marketing development and implementation.
•	You must focus on one particular event of your choice that will critically analyze.
•	Your assignment should demonstrate an understanding of the theory and dynamic role of marketing in the event sectors.
•	You should identify the appropriate tools used in the event selected."	5
traditional  accounting information system	Read the article and determine main points then write 10 pages about these points the topic is 3.8 period in the article	5
personal statement	I need a original personal statement for applying to UK university to study specifically accountancy and finance or accountancy and business management, undergraduate degree, must be between 1000 and 4000 characters.	5
2 Articles Writing and 1 Essay analysis	"Part1: Summarize 2 articles : 
-	Article 1 – “Globalization”
-	Article 2 – “Towards a Learning Organization: The Strategic Learning Blocks”
Conditions:
- Every article size must not be more than 1/3 of the article size with nothing less than 1,200 words.
-  Rephrase but don't include any similar words or sentences.
Structure should be:
1 - Abstract (have one or two sentences) 
2 - Introduction / background ( should be five or six sentences collated in one paragraph)
3 - Objective(s) of the study
4 - Methodology
5 - Results/analysis/interpretation/conclusion


Part2: Critical Essay Analysis writing
""Effect of the 4th industrial revolution on the employment market""
- 1,200 words
- no plagiarism
- any referral must be noted and included by the end of the essay

Deadline: 15th November 2018"	5
I would like to hire a PowerPoint Designer	I wrote a 7 page paper on Malware, and have to create a powerpoint to go with it. The key points of the paper I wrote.	5
Content Re-Write	"I have some erb content I need re-written to be seo friendly 

5- 300 word articales 

Let me know turn around time please"	1
Report on Person-of-theTherapist	Address the issue(s) of the “person-of-the-therapist” in the application of these common factors of change, and therapeutic model(s) for a clinical case of your choice.	5
Artifical intelligence economical negativity 	"Is the artifical intelligence the future of legal practice in the 21st century?

6 slides talking about the negativity of economical artifical intelligence

Please use newspaper amd articles for references

-Oscola reference style used please 

- i would like to have the websites used sent to me as well
"	5
system security report	build a challenge and fix the error and do a report.	5
negotiation	"8-12 pages excluding items 1, 2, 10
1.	cover page
2.	TOC
3.	introduction/background
4.	negotiation parities 
5.	each party negotiation power, strategy, agenda, interests, expectations
6.	negotiation process from each side
7.	negotiation results
8.	outcome/conclusion
9.	recommendations, what would you have done differently
10.	references"	5
Small Research	"Hello, 
I am looking for experts in research to conduct a research on the history of the theory of crisis communications. It is a small research and I will share details on chat. Thank you."	5
Report Writing	Discuss any two issues below that have occurred with two separate organisations that you are familiar with. The information must be historical.	5
writing about teaching in universities	"I need to reflective writing - 3000 words about
1- design learning activities
2- teaching
3- assessments
4- learning environments
5- professional development in education 
I need 5 references and I have examples to be included in what? why? how? style"	5
write 7 to 10 pages	write 7 to 10 pages in Medical regulations	5
Airline operations new	"FARs 121 regulations 
and also"	5
Essay about Globalization and Protectionism - 4/5 pages long APA style 	I need you to write a research article.	5
Write a research paper for Development Psychology Topic	"Paper Option #1 Nature/Nurture
Developmental science focuses on the various contributions to development, and whether they lean toward the genetic side of things (nature) or environmental (nurture). Choose from one of the following topics discussed in the modules:


Child obesity
Eating disorders
Adolescent depression
For this paper, review the module material on your specific topic. Then, write a paper describing in detail the “nature” (primarily genetic, inherited) contributions to this condition as well as the “nurture” contributions. You will need to conduct internet research and cite the sources to obtain additional information on your topic. For example, explaining the inherited reasons for a child to be obese will require that you visit, read, summarize, and cite medical sites on the internet. It is crucial that you rephrase material in your own words and cite it or put phrases from the sources in quotation marks and cite it. No more than a few sentences should be directly quoted, however, in order for you to receive credit for writing this paper (in other words, no credit is given for a paper that is a string of other people’s quotes). As a general rule of thumb, at least 1.5 pages should focus on ""Nature"" contributions to the issue at hand and at least 1.5 pages should focus on ""Nurture"" contributions.

Your research must include at least 2 journal articles or books. That is, websites can be very helpful and informative, but your final paper must include full, published research articles or books on the topic. Sources should be reputable and consistent with what you learned in the module as well as other sources. GoogleScholar and PDF articles from the internet can be helpful resources. Make sure you use good search terms when trying to find articles. You may want to start broad (for example, “Bystander effect”) and then narrow to your particular area. This paper requirement means that you need to include at least two primary sources in your paper; articles from the internet can be included, but they would be in addition to the two minimum primary sources. Primary sources are firsthand accounts; thus, they involve the author writing about his or her own work.

It is recommended that you spend at least a page and a half discussing “nature” for this topic and a page and at least a half discussing “nurture.” Finally, conclude the paper by indicating which side (nature, nurture) gives the strongest contribution to this condition, or whether they are both needed. For example, for child obesity, is genetics alone a sufficient cause for a child to be obese, or are poor eating habits necessary to along with a genetic predisposition? The paper should follow the following format:

I. Introduction. Introduce your topic.
II. Description and research on “nature” components
III. Description and research on “nurture” components
IV. Evaluation: which side (nature, nurture) most strongly contributes?"	5
research paper	"congress party in post-independence Era
Chicago Style 
Write 12 pages essay"	5
Big data analysis research	"do a big data analysis research no longer than 1200 words
minium of 8 references required - 5 of them need to published in or after 2011"	5
Write research paper for the usecase	Write research paper for the usecase.	5
FINANCE TOPIC	FINANCE WRITING TOPIC 1500-200 WORDS	5
Article writing x 4 variants	"I need 4 variations of an article written off 500-600 words to also contain some keywords for backlinking. The article should describe our website and what we do 

[login to view URL]

Native English speakers only"	1
Presentation; batteries	"I need a presentation about batteries ( intro, usage, advantages and disadvantages, types.. and any other interesting topics about batteries)

-	I need the presentation to have charts, figures, table..etc (any infographic related)
-	To have only points ( not very long sentences)
-	Along with it a word doc so I can read it and present the presentation.
Doesn’t have to be too fancy! Number of slides up to 12 ( with intro and question slide)."	5
need introduction writing	I need help for writing in introduction for a group project.	5
copywriting in automotive niche	"We are looking for a copywriter, who is able to write blog posts in the automotive niche. To be accurate - everything about car batteries (replacement, types, maintains, etc.). Type of posts: checklists, advice, product and manufacturers comparing, relative devices reviews. We are providing topics.
Blog posts should be UNIQUE and about 500-700 words long. (We are always checking for plagiarism).
To the right person, we will give up to 5 posts per month"	1
Essay about Bullying - 5 pages	Essay about Bullying - 5 pages. Neede by Tuesday	5
Comparative Political Research Essay	"We are a private market research firm currently undertaking studies relating to politics and law.

Our project is a 2000 word essay that should be on the nature of comparative political research about a comparison between the United States and the United Kingdom. 

More information is included in the uploaded files."	5
Resume and Circulium Viate	I want to land the job with my resume and Circulium Viate	1
Copy and Market Research	"I am a mindset relationship therapist and coach. I am starting to create copy for a new website, programs and webinar series. I focus on serving women 25-50, affluent, struggling with conflict in relationships, personal development, desire for fulfillment and ease in their lives and relationships. 

I need you to research copy used and comments from customers from similar authors, vloggers, personas on Youtube, Amazon, Facebook Ads, and Instagram. 

I am looking for sales copy that seems to be effective, positive comments from clients or customers (i.e. book reviews, Youtube comments, etc). Make note of ads that are popping up in Youtube videos and what they are selling to that audience. 

Area to be researched:

-Loneliness
-Codependency
-Narcissistic Relationship Victims
-Relationship Patterns
-Love
-Personal Growth (ex. Brene Brown and Gabrielle Bernstein).

Organize this information by topic, platform, copy and customer reviews. 
(an example of what I'd like this to look like will be provided in the form of a Google Sheet)

I will need:
1. What platform the information is coming from
2. What the title of the video or book is
3. Who the vlogger/persona/author is
4. The TOPIC that you searched to find this (what did you put in the search engine, so if I need to find it again, I can)
5. The relevant copy/comments actually pasted verbatim in the document (please specify if it is copy from the sales or comments from the consumer)."	1
Cover letter + CV for Irish market	I'm looking for jobs so I need a good cover letter and CV related to my background and the job I'm applying for, specifically in Irish aviation market; and Europe in general.	1
thesis proposal writing on impact of process innovation on organizational performance of SMEs	research proposal writing on impact of process innovation on SMEs performances	5
write articles about GDPR, marketing, email marketing	"I need to hire a writer who is well established and has profound knowledge about marketing, GDPR regulations, email marketing and telemarketing. Your job will be to write very informative and attention grabbing blog posts in perfect english for a company that works in this area. Around 1000 words per article is good and each article needs to give the reader great insights and value. Of course the content must be unique and can NOT be copied from other sources since that would be a violation of copyrights and affect the website in a very negative way.

We'll start with the first article and then we can proceed with many more.

Quote your price per article <1000 words."	1
read an article and then answer some questions 1000 words	read an article then answer questions word count is 1000 words (total of  6 questions)	5
brand resonance model and brand equity.	Critically discuss how both the Brand Resonance Model and the concept of Brand equity may be used to guide brand building activities. Use a wide range of academic literature to link the conceptual elements embedded within the model. Also support your answer by proving concrete examples and current market data.	5
TABLE OF CONTENTS NEEDED FOR THESIS	I need a table of contents set up on an existing thesis document - all headings and figures need to numbered and linked to working document that can be changed or added too	5
Report on PSM fucntion for a firm / Company	"Individual Project
•	Identify a company / firm and identify the PSM function within the company
•	Corporate, business and operations strategy
•	Strengths of these strategies
•	State the advantages of PSM within the company
•	Quantify the advantages of the positive impact (further explain it to the points that benefit the company)

Will send you a file of the actual report guidelines once everything is approved"	5
I need someone who is capable of doing academic writing and research	"I need someone who is capable of doing academic writing and research in Wireless sensor network
1-Wireless Sensor Networks (WSNs)
Definition, overview types, and importance, ( about 1 page)
2-Sensor Components ( 0.5 – 1 page) 
3-WSNs applications  ( 0.5 – 1 page) 
4-Wireless Sensor Networks Layer Stack (0.5 – 1 page) 
5-Physical layer security ( 0.5 – 1 page)"	5
Help me write something	"Hi 

I need someonw to do an assignment for me"	5
Spain Geographic Essay	"Ghostwriter needed
More Details below
Word Count: >2000
about: Happiness in Spain and immigrants
Time Frame: 1 day 
Style: Comparative/Analytical Essay   
Format: 12 pt. font Calibri
Referencing: in-text referencing (APA)"	5
CV/resume writer for a freelance copyeditor and proofreader	Hi, I need someone to revamp my CV/resume. I have written one, with some key projects, achievements, accomplishments, etc., but it is just so boring. Looking for someone who is skilled at CV/resume writing to review and suggest changes for my 2-page CV/resume. On a limited budget...	1
Case study for network security 	I need you to write a case study report for network security.	5
A comparative report	A comparative report between the choice of an unincorporated partnership and an incorporated private limited company (Ltd).	4
Sport Essay / Report	"using the a model of Behaviour change, produce a critical evaluation of how this relates to sport and physical activity participation.   2000 words with references and citations. 

Model of Choice - ""deficit model"""	5
Copy Writing	"Need someone to copy write for my website.

Nature of business: Lawn & Garden Care"	1
critical essay harvard style	critical essay by Harvard style about Frida Kahlo	5
Academic writing  -- 2	Accounting project 	5
Proofread product menu and package	We need to professionally proofread a baby product menu and package in one day	1
Help me write something	I need you to write a research article. Research the HRM practices in the uae	5
Easy Write Up	I need you to do a write up about the effects social media has on one’s self esteem. 	5
Article of barbecue smoking 	I need you to write a research article. On the use of wood in barbecue smoking. 	3
For Janelle Heideman	Hello Janelle.  We are happy to extend this project (blog) to you.	3
7 types of waste in lean production theory	"- 2000 word essay on 7 types of waste in lean production theory.
- Cite at least 2-3 academic articles.
- Include your own example scenarios from construction projects for each type of waste."	5
Rewrite a 3,500 Word Review Article (I have more work after this)	"I need a writer that is well versed in English to rewrite a batch of articles (reviews) in the home niche. The rewritten articles need to have high quality, sound good and be in your own words so they pass Copyscape. No spun content or other nonsense like that.

This project here is for the first article in a batch. It has 4,000 words and contains 10 short reviews of various products in the home niche. 
After this, I have more articles (currently 22,600 words overall) that need to be rewritten, all in the same category and the same type of products. If you do a great job, I'll be happy to give you more work to do.

Cheers!"	4
Article 500-600 words	"I need an article written for my website [login to view URL] which should be titled ‘5 places you must visit when in Russia’. 

The article can then be quite general with a bit of blurb about each, but with a closing paragraph about ‘Before travelling to Russia’ which is where there will be content about applying for a Russian visa. I will tell you which are the top 5 places and where you can find some information about them"	1
Content check	I would like to hire someone to check my main's page content and to proceed to any changes if needed to improve it and make it more SEO friendly.	1
Write encyclopaedia article about British company.	You will need to write 1000 words about a financial company in Wikipedia's house style.	3
Business travel market 	I need you to write a research article.	5
Write an Article for the website	"Write an Article ""How to choose the best cycling clothing"" for the website [login to view URL] using words which will help to promote website. 600-700 words. The company makes  women specific, premium cycling clothing."	1
Improve Quality of Service For Home Automation Network (IoT)	I need help about writing my research proposal which is improve quality for home automation networks. the state of the art and QoS parameter	5
Content for website and brochure	"Edit content provided to suit:
1. Website
2. Retail Pamphlet

The content is provided.  It needs to be edited for use in marketing materials.  Additional information about the audience and the services are provided for background information.  See attached."	1
Website Copy	We are an organic kombucha brewery in Southern California. Our target audiences are yogis, fitness enthusiasts, new agers, and holistic/conscious communities. I am seeking help with writing copy or text to our website to inform people about the products and adding flow and aesthetics to the site.	1
